Building,Location Weather Year,Usage Level,Geometry Single Unit Level,Geometry Single Unit Horizontal Location,Geometry Single Unit Has Rear Units,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Geometry Nearest Neighbor LeftRight,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Insulation Unfinished Attic,Insulation Finished Roof,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Is Heatpump,HVAC System Heatpump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,HVAC System Shared,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio
69,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,<1940,<1940,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units high,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,Left,LeftRight,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,None,68F,73F,National Average,None,EF 6.7,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour4,None,Day90,0.13
70,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1980-99s,1980s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,15,None,None,N/a,1,True,LeftRight,LeftRight,7,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,73F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour13,Hour12,None,Day6,0.13
71,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,UT_Salt.Lake.City.Intl.AP.725720,CR05,USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3.epw,1980-99s,1990s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,R-19,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,73F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour6,None,Day15,0.13
72,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,DE_Wilmington-New.Castle.County.AP.724089,CR08,USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,2,16,None,None,N/a,1,True,Left,LeftRight,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",R-30,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, R-7",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,73F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour14,Hour17,None,Day54,0.13
73,TMY3,High,Top,Right,TRUE,10 to 19 Unit,CA_Los.Angeles.Intl.AP.722950,CR11,USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,1500-2499,2,16,None,None,N/a,2,True,Left,None,12,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Both Shared,No,None,None,None,None,None,None,None,None,Central,None,70F,72F,National Average,None,EF 10.2,"Gas, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour8,None,Day10,0.13
74,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,MO_Kansas.City.Intl.AP.724460,CR08,USA_MO_Kansas.City.Intl.AP.724460_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,1,16,None,None,N/a,1,True,LeftRight,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-49, Vented",R-30,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-15",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 10.5,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour16,None,Day58,0.13
75,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,PA_Pittsburgh.Intl.AP.725200,CR07,USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,18,None,None,N/a,1,True,LeftRight,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",60% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour17,Hour10,None,Day97,0.13
76,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,CA_Los.Angeles.Intl.AP.722950,CR11,USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,1,12,None,None,N/a,2,True,Left,Left,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-7, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Baseboard,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,70F,72F,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour9,None,Day33,0.13
77,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,MO_St.Louis-Lambert.Intl.AP.724340,CR08,USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,18,None,None,N/a,1,True,LeftRight,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,None,68F,74F,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour13,None,Day73,0.13
78,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CA_Sacramento.Exec.AP.724830,CR11,USA_CA_Sacramento.Exec.AP.724830_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,1,18,None,None,N/a,2,True,Left,None,12,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,None,None,PTACs with boiler HW,69F,73F,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour7,None,Day12,0.13
79,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,VA_Richmond.Intl.AP.724010,CR08,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,18,None,None,N/a,1,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,R-19,"Wood Stud, R-19",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,73F,National Average,None,EF 10.5,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",60% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour8,None,Day91,0.13
80,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CT_Hartford-Bradley.Intl.AP.725080,CR03,USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Both Shared,No,None,None,None,None,None,None,None,None,Central,None,68F,73F,National Average,None,EF 10.5,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour15,None,Day52,0.13
81,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CA_Long.Beach-Daugherty.Field.722970,CR11,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw,1980-99s,1980s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,3,12,None,None,N/a,1,True,Left,Left,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-19,"Wood Stud, R-11",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,Fan coil with chiller/Boiler,70F,73F,National Average,None,EF 10.2,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour8,None,Day9,0.13
82,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,IL_Chicago-OHare.Intl.AP.725300,CR04,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1980-99s,1990s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,LeftBack,None,7,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-19,"Wood Stud, R-15",2+ Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 10.5,"Gas, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",8 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour13,None,Day49,0.13
83,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,WA_Seattle-Tacoma.Intl.AP.727930,CR06,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,Left,None,12,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-19",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour10,Hour18,None,Day71,0.13
84,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,NC_Wilmington.Intl.AP.723013,CR09,USA_NC_Wilmington.Intl.AP.723013_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,2,12,None,None,N/a,1,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",None,"Ceiling R-13, Vented",None,None,None,R-13,"Wood Stud, R-15",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,None,69F,74F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour7,None,Day5,0.13
85,TMY3,High,Top,Right,TRUE,10 to 19 Unit,NC_Raleigh-Durham.Intl.AP.723060,CR09,USA_NC_Raleigh-Durham.Intl.AP.723060_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,3,15,None,None,N/a,1,True,Left,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",R-30,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,73F,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour16,None,Day63,0.13
86,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CO_Colorado.Springs-Peterson.Field.724660,CR05,USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw,1980-99s,1990s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftBack,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,None,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour9,None,Day92,0.13
87,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,RI_Providence-T.F.Green.State.AP.725070,CR03,USA_RI_Providence-T.F.Green.State.AP.725070_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units high,Unheated Basement,0-1499,3,15,None,None,N/a,1,True,Left,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,None,68F,73F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",60% CFL,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour18,None,Day68,0.13
88,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,WA_Seattle-Tacoma.Intl.AP.727930,CR06,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,2,18,None,None,N/a,1,True,Left,None,4,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour17,None,Day84,0.13
89,TMY3,High,Top,Right,TRUE,10 to 19 Unit,MD_Baltimore-Washington.Intl.AP.724060,CR08,USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,12,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,73F,National Average,None,EF 10.5,"Electric, 120% Usage","318 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour18,None,Day8,0.13
90,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CA_Los.Angeles.Intl.AP.722950,CR11,USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units high,Unheated Basement,1500-2499,2,12,None,None,N/a,1,True,Left,None,12,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,None,None,fan coil with boiler HW,70F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour13,None,Day29,0.13
91,TMY3,High,Top,Right,TRUE,10 to 19 Unit,FL_Miami.Intl.AP.722020,CR09,USA_FL_Miami.Intl.AP.722020_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,27,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium","2ft R10 Perimeter, R10 Gap",None,None,None,None,Uninsulated,"Wood Stud, R-19",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,70F,77F,National Average,None,EF 6.7,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour9,Hour12,None,Day38,0.13
