Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	sampling_probability
Multi-Family with 2 - 4 Units	1990s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.001566
Multi-Family with 5+ Units	1990s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.003471
Mobile Home	1990s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.010318
Single-Family Attached	2000s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.001015
Multi-Family with 2 - 4 Units	2000s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.001597
Multi-Family with 5+ Units	2000s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.003538
Mobile Home	2000s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.002345
Single-Family Attached	2010s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.000231
Multi-Family with 2 - 4 Units	2010s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.000363
Multi-Family with 5+ Units	2010s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.000804
Mobile Home	2010s	CR09	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.001161
Single-Family Attached	<1940	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000114
Multi-Family with 2 - 4 Units	<1940	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000180
Multi-Family with 5+ Units	<1940	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000398
Mobile Home	<1940	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000465
Single-Family Attached	1940s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000046
Multi-Family with 2 - 4 Units	1940s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000072
Multi-Family with 5+ Units	1940s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000159
Mobile Home	1940s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000980
Single-Family Attached	1950s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000096
Multi-Family with 2 - 4 Units	1950s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000152
Multi-Family with 5+ Units	1950s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000336
Mobile Home	1950s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000991
Single-Family Attached	1960s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000097
Multi-Family with 2 - 4 Units	1960s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000153
Multi-Family with 5+ Units	1960s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000340
Mobile Home	1960s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.001415
Single-Family Attached	1970s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000139
Multi-Family with 2 - 4 Units	1970s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000219
Multi-Family with 5+ Units	1970s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000485
Mobile Home	1970s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.001241
Single-Family Attached	1980s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000122
Multi-Family with 2 - 4 Units	1980s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000192
Multi-Family with 5+ Units	1980s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000425
Mobile Home	1980s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.001303
Single-Family Attached	1990s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000128
Multi-Family with 2 - 4 Units	1990s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000202
Multi-Family with 5+ Units	1990s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000447
Mobile Home	1990s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.001328
Single-Family Attached	2000s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000131
Multi-Family with 2 - 4 Units	2000s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000205
Multi-Family with 5+ Units	2000s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000455
Mobile Home	2000s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000302
Single-Family Attached	2010s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000030
Multi-Family with 2 - 4 Units	2010s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000047
Multi-Family with 5+ Units	2010s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000104
Mobile Home	2010s	CR10	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.003220
Single-Family Attached	<1940	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000317
Multi-Family with 2 - 4 Units	<1940	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000498
Multi-Family with 5+ Units	<1940	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.001104
Mobile Home	<1940	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.001289
Single-Family Attached	1940s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000127
Multi-Family with 2 - 4 Units	1940s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000199
Multi-Family with 5+ Units	1940s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000442
Mobile Home	1940s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.002718
Single-Family Attached	1950s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000267
Multi-Family with 2 - 4 Units	1950s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000421
Multi-Family with 5+ Units	1950s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000932
Mobile Home	1950s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.002750
Single-Family Attached	1960s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000270
Multi-Family with 2 - 4 Units	1960s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000426
Multi-Family with 5+ Units	1960s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000943
Mobile Home	1960s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.003927
Single-Family Attached	1970s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000386
Multi-Family with 2 - 4 Units	1970s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000608
Multi-Family with 5+ Units	1970s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.001347
Mobile Home	1970s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.003443
Single-Family Attached	1980s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000339
Multi-Family with 2 - 4 Units	1980s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000533
Multi-Family with 5+ Units	1980s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.001181
Mobile Home	1980s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.003615
Single-Family Attached	1990s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000355
Multi-Family with 2 - 4 Units	1990s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000559
Multi-Family with 5+ Units	1990s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.001240
Mobile Home	1990s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.003685
Single-Family Attached	2000s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000362
Multi-Family with 2 - 4 Units	2000s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000570
Multi-Family with 5+ Units	2000s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.001264
Mobile Home	2000s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000838
Single-Family Attached	2010s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000082
Multi-Family with 2 - 4 Units	2010s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000130
Multi-Family with 5+ Units	2010s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000287
Mobile Home	2010s	CR11	Slab	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000562
Single-Family Attached	<1940	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000054
Multi-Family with 2 - 4 Units	<1940	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000105
Multi-Family with 5+ Units	<1940	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000233
Mobile Home	<1940	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1940s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000225
Single-Family Attached	1940s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000021
Multi-Family with 2 - 4 Units	1940s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000042
Multi-Family with 5+ Units	1940s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000093
Mobile Home	1940s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1950s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000475
Single-Family Attached	1950s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000045
Multi-Family with 2 - 4 Units	1950s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000089
Multi-Family with 5+ Units	1950s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000196
Mobile Home	1950s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1960s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000480
Single-Family Attached	1960s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000046
Multi-Family with 2 - 4 Units	1960s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000090
Multi-Family with 5+ Units	1960s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000199
Mobile Home	1960s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1970s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000686
Single-Family Attached	1970s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000065
Multi-Family with 2 - 4 Units	1970s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000128
Multi-Family with 5+ Units	1970s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000284
Mobile Home	1970s	CR02	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1980s	CR02	Unheated Basement	0.450000	0.200000	0.350000	0.000000	0.000601
Single-Family Attached	1980s	CR02	Unheated Basement	0.450000	0.200000	0.350000	0.000000	0.000057
Multi-Family with 2 - 4 Units	1980s	CR02	Unheated Basement	0.450000	0.200000	0.350000	0.000000	0.000112
Multi-Family with 5+ Units	1980s	CR02	Unheated Basement	0.450000	0.200000	0.350000	0.000000	0.000249
Mobile Home	1980s	CR02	Unheated Basement	0.450000	0.200000	0.350000	0.000000	0.000000
Single-Family Detached	1990s	CR02	Unheated Basement	0.130000	0.460000	0.410000	0.000000	0.000631
Single-Family Attached	1990s	CR02	Unheated Basement	0.130000	0.460000	0.410000	0.000000	0.000060
Multi-Family with 2 - 4 Units	1990s	CR02	Unheated Basement	0.130000	0.460000	0.410000	0.000000	0.000118
Multi-Family with 5+ Units	1990s	CR02	Unheated Basement	0.130000	0.460000	0.410000	0.000000	0.000261
Mobile Home	1990s	CR02	Unheated Basement	0.130000	0.460000	0.410000	0.000000	0.000000
Single-Family Detached	2000s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000644
Single-Family Attached	2000s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000061
Multi-Family with 2 - 4 Units	2000s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000120
Multi-Family with 5+ Units	2000s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000266
Mobile Home	2000s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000000
Single-Family Detached	2010s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000146
Single-Family Attached	2010s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000014
Multi-Family with 2 - 4 Units	2010s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000027
Multi-Family with 5+ Units	2010s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000060
Mobile Home	2010s	CR02	Unheated Basement	0.020000	0.350000	0.640000	0.000000	0.000000
Single-Family Detached	<1940	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000511
Single-Family Attached	<1940	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000049
Multi-Family with 2 - 4 Units	<1940	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000095
Multi-Family with 5+ Units	<1940	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000211
Mobile Home	<1940	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1940s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000204
Single-Family Attached	1940s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000019
Multi-Family with 2 - 4 Units	1940s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000038
Multi-Family with 5+ Units	1940s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000085
Mobile Home	1940s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1950s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000431
Single-Family Attached	1950s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000041
Multi-Family with 2 - 4 Units	1950s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000080
Multi-Family with 5+ Units	1950s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000178
Mobile Home	1950s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1960s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000436
Single-Family Attached	1960s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000042
Multi-Family with 2 - 4 Units	1960s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000081
Multi-Family with 5+ Units	1960s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000180
Mobile Home	1960s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1970s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000623
Single-Family Attached	1970s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000059
Multi-Family with 2 - 4 Units	1970s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000116
Multi-Family with 5+ Units	1970s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000258
Mobile Home	1970s	CR03	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1980s	CR03	Unheated Basement	0.260000	0.330000	0.410000	0.000000	0.000546
Single-Family Attached	1980s	CR03	Unheated Basement	0.260000	0.330000	0.410000	0.000000	0.000052
Multi-Family with 2 - 4 Units	1980s	CR03	Unheated Basement	0.260000	0.330000	0.410000	0.000000	0.000102
Multi-Family with 5+ Units	1980s	CR03	Unheated Basement	0.260000	0.330000	0.410000	0.000000	0.000226
Mobile Home	1980s	CR03	Unheated Basement	0.260000	0.330000	0.410000	0.000000	0.000000
Single-Family Detached	1990s	CR03	Unheated Basement	0.020000	0.280000	0.700000	0.000000	0.000573
Single-Family Attached	1990s	CR03	Unheated Basement	0.020000	0.280000	0.700000	0.000000	0.000055
Multi-Family with 2 - 4 Units	1990s	CR03	Unheated Basement	0.020000	0.280000	0.700000	0.000000	0.000107
Multi-Family with 5+ Units	1990s	CR03	Unheated Basement	0.020000	0.280000	0.700000	0.000000	0.000237
Mobile Home	1990s	CR03	Unheated Basement	0.020000	0.280000	0.700000	0.000000	0.000000
Single-Family Detached	2000s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000584
Single-Family Attached	2000s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000056
Multi-Family with 2 - 4 Units	2000s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000109
Multi-Family with 5+ Units	2000s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000242
Mobile Home	2000s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000000
Single-Family Detached	2010s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000133
Single-Family Attached	2010s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000013
Multi-Family with 2 - 4 Units	2010s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000025
Multi-Family with 5+ Units	2010s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000055
Mobile Home	2010s	CR03	Unheated Basement	0.040000	0.230000	0.730000	0.000000	0.000000
Single-Family Detached	<1940	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001408
Single-Family Attached	<1940	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000134
Multi-Family with 2 - 4 Units	<1940	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000263
Multi-Family with 5+ Units	<1940	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000582
Mobile Home	<1940	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1940s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000564
Single-Family Attached	1940s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000054
Multi-Family with 2 - 4 Units	1940s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000105
Multi-Family with 5+ Units	1940s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000233
Mobile Home	1940s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1950s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001188
Single-Family Attached	1950s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000113
Multi-Family with 2 - 4 Units	1950s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000222
Multi-Family with 5+ Units	1950s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000491
Mobile Home	1950s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1960s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001203
Single-Family Attached	1960s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000115
Multi-Family with 2 - 4 Units	1960s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000224
Multi-Family with 5+ Units	1960s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000497
Mobile Home	1960s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1970s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001717
Single-Family Attached	1970s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000164
Multi-Family with 2 - 4 Units	1970s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000320
Multi-Family with 5+ Units	1970s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000710
Mobile Home	1970s	CR04	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1980s	CR04	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.001505
Single-Family Attached	1980s	CR04	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000143
Multi-Family with 2 - 4 Units	1980s	CR04	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000281
Multi-Family with 5+ Units	1980s	CR04	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000622
Mobile Home	1980s	CR04	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000000
Single-Family Detached	1990s	CR04	Unheated Basement	0.070000	0.810000	0.120000	0.000000	0.001581
Single-Family Attached	1990s	CR04	Unheated Basement	0.070000	0.810000	0.120000	0.000000	0.000151
Multi-Family with 2 - 4 Units	1990s	CR04	Unheated Basement	0.070000	0.810000	0.120000	0.000000	0.000295
Multi-Family with 5+ Units	1990s	CR04	Unheated Basement	0.070000	0.810000	0.120000	0.000000	0.000654
Mobile Home	1990s	CR04	Unheated Basement	0.070000	0.810000	0.120000	0.000000	0.000000
Single-Family Detached	2000s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.001611
Single-Family Attached	2000s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000153
Multi-Family with 2 - 4 Units	2000s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000301
Multi-Family with 5+ Units	2000s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000666
Mobile Home	2000s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000000
Single-Family Detached	2010s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000366
Single-Family Attached	2010s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000035
Multi-Family with 2 - 4 Units	2010s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000068
Multi-Family with 5+ Units	2010s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000151
Mobile Home	2010s	CR04	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000000
Single-Family Detached	<1940	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000375
Single-Family Attached	<1940	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000036
Multi-Family with 2 - 4 Units	<1940	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000070
Multi-Family with 5+ Units	<1940	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000155
Mobile Home	<1940	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1940s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000150
Single-Family Attached	1940s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000014
Multi-Family with 2 - 4 Units	1940s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000028
Multi-Family with 5+ Units	1940s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000062
Mobile Home	1940s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1950s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000317
Single-Family Attached	1950s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000030
Multi-Family with 2 - 4 Units	1950s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000059
Multi-Family with 5+ Units	1950s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000131
Mobile Home	1950s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1960s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000321
Single-Family Attached	1960s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000031
Multi-Family with 2 - 4 Units	1960s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000060
Multi-Family with 5+ Units	1960s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000133
Mobile Home	1960s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1970s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000458
Single-Family Attached	1970s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000044
Multi-Family with 2 - 4 Units	1970s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000085
Multi-Family with 5+ Units	1970s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000189
Mobile Home	1970s	CR05	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1980s	CR05	Unheated Basement	0.630000	0.100000	0.270000	0.000000	0.000401
Single-Family Attached	1980s	CR05	Unheated Basement	0.630000	0.100000	0.270000	0.000000	0.000038
Multi-Family with 2 - 4 Units	1980s	CR05	Unheated Basement	0.630000	0.100000	0.270000	0.000000	0.000075
Multi-Family with 5+ Units	1980s	CR05	Unheated Basement	0.630000	0.100000	0.270000	0.000000	0.000166
Mobile Home	1980s	CR05	Unheated Basement	0.630000	0.100000	0.270000	0.000000	0.000000
Single-Family Detached	1990s	CR05	Unheated Basement	0.020000	0.200000	0.780000	0.000000	0.000421
Single-Family Attached	1990s	CR05	Unheated Basement	0.020000	0.200000	0.780000	0.000000	0.000040
Multi-Family with 2 - 4 Units	1990s	CR05	Unheated Basement	0.020000	0.200000	0.780000	0.000000	0.000079
Multi-Family with 5+ Units	1990s	CR05	Unheated Basement	0.020000	0.200000	0.780000	0.000000	0.000174
Mobile Home	1990s	CR05	Unheated Basement	0.020000	0.200000	0.780000	0.000000	0.000000
Single-Family Detached	2000s	CR05	Unheated Basement	0.020000	0.150000	0.830000	0.000000	0.000430
